sql_id,num_tables_used,num_kpis,primary_table,kpi_family,execution_count,frequency_bucket,analyst,dominant_hour,dominant_day_of_week
S000401,3,3,raw_ticket_sales,attendance_rate,1,ad-hoc,analyst_04,8,Monday
S000806,2,2,raw_ticket_sales,marketing_last_touch,1,ad-hoc,analyst_08,9,Monday
S000701,1,3,raw_ticket_sales,refund_spike,1,ad-hoc,analyst_05,9,Monday
S000001,2,3,analytics.vw_ticket_sales_enriched,ticket_revenue_daily,1,ad-hoc,analyst_01,9,Monday
S000221,2,3,raw_ticket_sales,ticket_revenue_daily,1,ad-hoc,analyst_02,10,Monday
S000861,1,3,support_tickets,support_sla,1,ad-hoc,analyst_04,10,Monday
S000851,1,2,crm_deals,deals_pipeline,1,ad-hoc,analyst_10,10,Monday
S000871,2,3,raw_ticket_sales,attach_rate,1,ad-hoc,analyst_06,10,Monday
S000841,2,2,raw_ticket_sales,rfm_segmentation,1,ad-hoc,analyst_09,12,Monday
S000736,2,3,raw_ticket_sales,attach_rate,1,ad-hoc,analyst_06,14,Monday
S000402,3,3,raw_ticket_sales,attendance_rate,1,ad-hoc,analyst_03,11,Tuesday
S000002,2,3,analytics.vw_ticket_sales_enriched,ticket_revenue_daily,1,ad-hoc,analyst_01,11,Tuesday
S000222,2,3,raw_ticket_sales,ticket_revenue_daily,1,ad-hoc,analyst_02,11,Tuesday
S001313,2,2,raw_ticket_sales,marketing_last_touch,1,ad-hoc,analyst_12,9,Wednesday
S001128,2,3,raw_ticket_sales,ticket_revenue_daily,1,ad-hoc,analyst_07,9,Wednesday
S000581,1,3,raw_digital_events,campaign_funnel,1,ad-hoc,analyst_04,10,Wednesday
S000003,2,3,analytics.vw_ticket_sales_enriched,ticket_revenue_daily,1,ad-hoc,analyst_01,10,Wednesday
S000403,3,3,raw_ticket_sales,attendance_rate,1,ad-hoc,analyst_03,11,Wednesday
S001026,1,3,raw_ticket_sales,refund_spike,1,ad-hoc,analyst_12,18,Wednesday
S000223,2,3,raw_ticket_sales,ticket_revenue_daily,1,ad-hoc,analyst_02,9,Thursday
S000404,3,3,raw_ticket_sales,attendance_rate,1,ad-hoc,analyst_03,9,Thursday
S000004,2,3,analytics.vw_ticket_sales_enriched,ticket_revenue_daily,1,ad-hoc,analyst_01,11,Thursday
S000005,2,3,analytics.vw_ticket_sales_enriched,ticket_revenue_daily,1,ad-hoc,analyst_01,9,Friday
S000224,2,3,raw_ticket_sales,ticket_revenue_daily,1,ad-hoc,analyst_02,9,Friday
S000405,3,3,raw_ticket_sales,attendance_rate,1,ad-hoc,analyst_03,10,Friday
S001189,2,3,raw_ticket_sales,attach_rate,1,ad-hoc,analyst_08,11,Friday
S001079,2,3,raw_ticket_sales,attach_rate,1,ad-hoc,analyst_06,13,Friday
S000006,2,3,analytics.vw_ticket_sales_enriched,ticket_revenue_daily,1,ad-hoc,analyst_05,10,Sunday
S000225,2,3,raw_ticket_sales,ticket_revenue_daily,1,ad-hoc,analyst_02,8,Monday
S000406,3,3,raw_ticket_sales,attendance_rate,1,ad-hoc,analyst_03,9,Monday
S001044,2,2,raw_ticket_sales,marketing_last_touch,1,ad-hoc,analyst_11,10,Monday
S001469,1,3,raw_digital_events,campaign_funnel,1,ad-hoc,analyst_01,11,Monday
S000737,2,3,raw_ticket_sales,attach_rate,1,ad-hoc,analyst_04,13,Monday
S000974,1,3,raw_digital_events,campaign_funnel,1,ad-hoc,analyst_09,14,Monday
S000771,1,3,support_tickets,support_sla,1,ad-hoc,analyst_07,14,Monday
S000407,3,3,raw_ticket_sales,attendance_rate,1,ad-hoc,analyst_03,9,Tuesday
S001254,2,3,raw_digital_events,campaign_funnel,1,ad-hoc,analyst_06,9,Tuesday
S000582,1,3,raw_digital_events,campaign_funnel,1,ad-hoc,analyst_04,11,Tuesday
S000007,2,3,analytics.vw_ticket_sales_enriched,ticket_revenue_daily,1,ad-hoc,analyst_01,11,Tuesday
S000408,3,3,raw_ticket_sales,attendance_rate,1,ad-hoc,analyst_03,8,Wednesday
S000583,1,3,raw_digital_events,campaign_funnel,1,ad-hoc,analyst_04,9,Wednesday
S000226,2,3,raw_ticket_sales,ticket_revenue_daily,1,ad-hoc,analyst_02,10,Wednesday
S001272,1,3,support_tickets,support_sla,1,ad-hoc,analyst_10,11,Wednesday
S000409,3,3,raw_ticket_sales,attendance_rate,1,ad-hoc,analyst_10,8,Thursday
S000227,2,3,raw_ticket_sales,ticket_revenue_daily,1,ad-hoc,analyst_02,10,Thursday
